ln_green_applications_total,ln_application_difference,ln_green_invention_applications,ln_green_utility_applications,ln_invention_application_difference,ln_utility_application_difference,ln_green_obtained_total,green_applications_total,green_innovation_dummy2,green_rate,green_rate_obtained,r_and_d_staff_rate,r_and_d_expenditure_10k,r_and_d_staff_count,ln_rnd_exp_over_total_assets,operating_cost1_over_assets_growth,operating_cost_growth,social_responsibility_score_growth,ln_environmental_investment,sumfine_over_total_assets_e3,sumfine_over_total_assets_original,ln_sumfine_over_total_assets_e3,sumfine,penalty_count,penalty_dummy,sum_news,sum_news_div100,sumfine_over_revenue_e3,sumfine_original_w_over_assets_e3,size,leverage,cashflow,firm_growth_w,firm_growth,historical_performance,market_power_517,market_power,capital_intensity,management_shareholding,pc,listing_age,state_owned,size_w,lev_w,cashflow_w,historical_performance_w,management_shareholding_w,pc_w,market_power_w,firm_growth_w,capital_intensity_w,id,pid,indid,year,analyst_attention01_mean,esg_increase,media_cover,cover_x_sumfine_over_assets_e3,province_max_penalty_count,province_max_penalty_amount,province_max_penalty_intensity,province_avg_penalty_intensity,province_industry_max_penalty_count,province_industry_max_penalty_amount,province_industry_avg_penalty_amount,province_industry_max_penalty_intensity,heavy_pollution,penalty_strengthen,env_subsidy_over_assets01,env_subsidy_over_assets0132,env_subsidy0132_x_sumfine_over_assets_e3,analyst_attention01_mean_x_sumfine_over_assets_e3,esg_increase_x_sumfine_over_assets_e3,quan_firm_strategy_index,green_executive,sumfine_over_assets_e3_nozero,aqi,pscore,ranorder,so2_div_e3,xsumfine,environmental_tax,emissions_trading_2007_start,carbon_trading_2013_start,word_count,ln_total_reduction_technology_environment_transformation_1000_over_word_count,province_industry_avg_penalty_amount,province_avg_penalty_count,province_avg_penalty_intensity,peers_mean_over_assets_e3_excluding_non_penalty
1.7917595,3.912023,1.0986123,1.3862944,3.583519,2.7080503,2.0794415,5.0,0.0,0.09090909,0.14893617,0.04267252,16069.65,350.0,-4.7249193,0.0,1.0,,0.0,0.0,,0.0,0.0,0.0,0.0,58.0,0.58,0.0,0.0,23.619947,0.63820213,0.00069484586,0.12846515,0.12846515,0.033352,0.40717468,4.220716,14.607814,0.0842,1.0,3.218876,0.0,23.619947,0.63820213,0.00069484586,0.033352,0.0842,1.0,4.220716,0.12846515,14.607814,9.0,19.0,90.0,2015.0,0.0,0.0,0.0,0.0,1.0,8.0,0.10652074,0.00096919836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,,53.083332,0.2864672897579679,0.56319517,0.008333333,0.012179016,0.0,0.0,1.0,64387.0,1.3173383,0.0,0.027272727,0.00096919836,0.0
2.8332133,4.59512,2.3978953,1.9459101,3.9702919,3.8501475,1.609438,16.0,1.0,0.13913043,0.06896552,0.057162147,22203.38,508.0,-4.5786796,1.0,1.3729625,27.869999,0.0,0.0,,0.0,0.0,0.0,0.0,71.0,0.71,0.0,0.0,23.79702,0.62379104,-0.0005624426,0.3178389,0.3178389,0.058826,0.3661971,4.256636,14.704675,0.1022,1.0,3.2580965,0.0,23.79702,0.62379104,-0.0005624426,0.058826,0.1022,1.0,4.256636,0.3178389,14.704675,9.0,19.0,90.0,2016.0,1.0,0.0,0.0,0.0,4.0,32.0,0.06619183,0.0024496429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,54.833332,0.3030968981058788,0.72099227,0.00825,0.010514132,0.0,0.0,1.0,67086.0,1.6607362,0.0,0.16949153,0.0024496429,0.0
2.7725887,4.89784,1.7917595,2.3978953,4.204693,4.2195077,2.3025851,15.0,0.0,0.10067114,0.14516129,0.051626462,27492.293,565.0,-4.5911474,0.0,1.0472003,-40.71,0.0,0.0,,0.0,0.0,0.0,0.0,42.0,0.42,0.0,0.0,24.02315,0.63312054,0.014419583,0.09541262,0.09541262,0.021113,0.41120794,4.211836,14.722602,0.1232,1.0,3.295837,0.0,24.02315,0.63312054,0.014419583,0.021113,0.1232,1.0,4.211836,0.09541262,14.722602,9.0,19.0,90.0,2017.0,1.0,0.0,0.0,0.0,7.0,84.4738,0.04668907,0.0017183105,1.0,3.0,1.5,0.0128388805,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,56.333332,0.30917317303581315,0.69530445,0.00775,0.0097574135,0.0,0.0,1.0,68587.0,1.7846018,1.5,0.34146342,0.0017183105,0.0
3.2580965,5.327876,2.1972246,2.8903718,4.59512,4.6821313,3.0445225,25.0,1.0,0.10822511,0.15384616,0.060058735,37619.176,818.0,-4.3738346,1.0,1.5854628,7.75,0.0,0.0378562,3.78562e-05,0.037157238,113.0,4.0,1.0,30.0,0.3,0.096453026,0.0378562,24.119444,0.6498956,0.09121809,0.6680471,0.6680471,0.013266,0.46198508,4.179655,14.600149,0.1232,1.0,3.3322046,0.0,24.119444,0.6498956,0.09121809,0.013266,0.1232,1.0,4.179655,0.6680471,14.600149,9.0,19.0,90.0,2018.0,1.0,0.0,0.0,0.0,21.0,246.0,1.4848632,0.03568407,4.0,113.0,86.5,0.23246495,0.0,1.0,0.0,1.0,0.0378562,0.0378562,0.0,3.0,0.0,0.0378562,50.666668,0.3370477104152665,0.7785192,0.00675,0.008509502,1.0,0.0,1.0,74607.0,1.8874774,86.5,1.1532258,0.03568407,0.020100636
3.1780539,5.1357985,2.3978953,2.6390574,4.454347,4.4426513,1.7917595,23.0,0.0,0.119170986,0.04901961,0.054913513,40905.17,727.0,-4.30208,1.0,1.0504655,0.4699993,0.0,0.0006620367,6.620367e-07,0.00066181767,2.0,1.0,1.0,18.0,0.18,0.0016738184,0.0006620367,24.131432,0.64555913,0.044281237,0.019903474,0.019903474,0.023352,0.4324597,4.2054086,14.640511,0.1232,1.0,3.3672957,0.0,24.131432,0.64555913,0.044281237,0.023352,0.1232,1.0,4.2054086,0.019903474,14.640511,9.0,19.0,90.0,2019.0,0.0,1.0,0.0,0.0,10.0,158.0,0.39077514,0.023645017,1.0,2.0,0.6666667,0.0006620367,0.0,0.0,1.0,1.0,0.0006620367,0.0,0.0006620367,2.0,0.0,0.0006620367,57.5,0.32464000051850256,0.15358576,0.005,0.011064766,1.0,0.0,1.0,80155.0,1.6446897,0.6666667,1.0967742,0.023645017,0.0
4.0073333,5.3471074,2.8903718,3.637586,4.189655,4.9767337,2.8332133,54.0,1.0,0.20454545,0.102564104,0.06893968,43899.848,920.0,-4.2845044,0.0,0.9002664,2.5100002,17.960037,0.0,,0.0,0.0,0.0,0.0,19.0,0.19,0.0,0.0,24.184511,0.5842173,0.02056534,-0.113390855,-0.113390855,0.023705,0.4171732,4.205977,14.685614,0.1473,1.0,3.4011974,0.0,24.184511,0.5842173,0.02056534,0.023705,0.1473,1.0,4.205977,-0.113390855,14.685614,9.0,19.0,90.0,2020.0,0.0,0.0,0.0,0.0,2.0,52.28,0.26328143,0.0031542764,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,46.583332,0.3183455353617114,0.57340956,0.00575,0.009094564,1.0,0.0,1.0,83355.0,1.606025,0.0,0.09677419,0.0031542764,0.0
2.8332133,4.7706847,2.3025851,2.0794415,4.1743875,3.988984,3.7612002,16.0,0.0,0.11940298,0.16867469,,81188.42,1247.0,-3.8212917,1.0,,,,,,,,0.0,0.0,,,,,24.33616,0.5776238,-0.007533008,0.65694416,0.65694416,0.034406,0.3388371,,,0.1473,,3.4339871,0.0,24.33616,0.5776238,-0.007533008,0.034406,0.1473,,,0.65694416,,9.0,19.0,90.0,2021.0,0.0,1.0,1.0,,0.0,,,,0.0,,,,0.0,0.0,1.0,1.0,,,,2.0,0.0,,53.75,,0.3832668,0.00625,,1.0,0.0,1.0,79476.0,1.7281678,,0.0,,
2.8903718,4.7957907,2.3025851,2.1972246,3.871201,4.304065,2.7080503,17.0,0.0,0.123188406,0.12844037,0.015358361,23993.303,162.0,-4.178325,0.0,1.0,,18.347153,0.0,,0.0,0.0,0.0,0.0,215.0,2.15,0.0,0.0,23.474195,0.5116955,0.06979753,0.05484936,0.05484936,0.056255,0.24352212,4.366851,14.199743,0.5576,0.0,3.1780539,0.0,23.474195,0.5116955,0.06979753,0.056255,0.5576,0.0,4.366851,0.05484936,14.199743,12.0,19.0,30.0,2015.0,0.0,0.0,1.0,0.0,1.0,8.0,0.10652074,0.00096919836,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,53.083332,0.2962154601024941,0.484036,0.008333333,0.014304756,0.0,0.0,1.0,38614.0,1.130655,0.0,0.027272727,0.00096919836,0.0
2.5649493,4.955827,2.0794415,1.7917595,4.158883,4.3694477,2.1972246,12.0,0.0,0.077922076,0.103896104,0.011636995,34155.4,134.0,-3.916062,1.0,1.1266005,-1.2900009,19.496128,0.0,,0.0,0.0,0.0,0.0,250.0,2.5,0.0,0.0,23.565079,0.5259067,0.1306862,0.2076729,0.2076729,0.035597,0.3130127,4.303719,14.213673,0.0,0.0,3.218876,0.0,23.565079,0.5259067,0.1306862,0.035597,0.0,0.0,4.303719,0.2076729,14.213673,12.0,19.0,30.0,2016.0,0.0,0.0,1.0,0.0,4.0,32.0,0.06619183,0.0024496429,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,54.833332,0.31276205267543145,0.64909446,0.00825,0.013291114,0.0,0.0,1.0,43480.0,1.1291144,0.0,0.16949153,0.0024496429,0.0
3.4339871,5.389072,2.7725887,2.7725887,4.5325994,4.8441873,2.5649493,30.0,1.0,0.12048193,0.09022556,0.011069806,36823.76,134.0,-3.9712346,1.0,1.252071,-60.049995,18.837708,0.004095213,4.095213e-06,0.0040868507,8.0,1.0,1.0,42.0,0.42,0.0073533463,0.004095213,23.695475,0.55056965,0.12610422,0.21231331,0.21231331,0.049284,0.28074408,4.335938,14.2941,0.4243,0.0,3.2580965,0.0,23.695475,0.55056965,0.12610422,0.049284,0.4243,0.0,4.335938,0.21231331,14.2941,12.0,19.0,30.0,2017.0,0.0,0.0,0.0,0.0,7.0,84.4738,0.04668907,0.0017183105,1.0,8.0,1.6,0.004095213,0.0,0.0,0.0,1.0,0.004095213,0.0,0.0,1.0,0.0,0.004095213,56.333332,0.3243160446613849,0.021339267,0.00775,0.013438211,0.0,0.0,1.0,41956.0,1.2535118,1.6,0.34146342,0.0017183105,0.0
